ref_month,dt,release,time_et,actual,consensus_median,surprise_sd,ff_futures_delta_bp,path_2y_bp,source_actual,status
2022-10,,CPI,08:30,0.53,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-10,,CPICORE,08:30,0.37,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-11,,CPI,08:30,0.24,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-11,,CPICORE,08:30,0.31,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-11,2022-11-02,FOMC,14:00,75,,,,,hardcoded_record,dt_final
2022-11,,NFP,08:30,,,,,,,needs_dt;needs_actual
2022-12,,CPI,08:30,0.03,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-12,,CPICORE,08:30,0.37,,,,,bls_pkg_2.0.10_revised,needs_dt
2022-12,2022-12-14,FOMC,14:00,50,,,,,hardcoded_record,dt_final
2022-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-01,,CPI,08:30,0.55,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-01,,CPICORE,08:30,0.42,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-02,,CPI,08:30,0.34,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-02,,CPICORE,08:30,0.47,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-02,2023-02-01,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2023-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-03,,CPI,08:30,0.06,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-03,,CPICORE,08:30,0.34,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-03,2023-03-22,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2023-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-04,,CPI,08:30,0.4,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-04,,CPICORE,08:30,0.45,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-05,,CPI,08:30,0.15,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-05,,CPICORE,08:30,0.37,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-05,2023-05-03,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2023-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-06,,CPI,08:30,0.26,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-06,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-06,2023-06-14,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2023-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-07,,CPI,08:30,0.17,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-07,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-07,2023-07-26,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2023-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-08,,CPI,08:30,0.5,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-08,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-09,,CPI,08:30,0.4,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-09,,CPICORE,08:30,0.31,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-09,2023-09-20,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2023-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-10,,CPI,08:30,0.09,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-10,,CPICORE,08:30,0.26,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2023-11,,CPI,08:30,0.14,,,,,bls_pkg_2.0.10_revised,needs_dt
2023-11,,CPICORE,08:30,0.3,,,,,bls_pkg_2.0.10_revised,needs_dt
