,"CBOE Volatility Index - MF2-GARCH Volatility","CBOE Volatility Index - MF2-GARCH Trend"
2017-07-14,1.0103969002327748,1.1730880018140157
2017-07-17,1.010254728274013,1.1724065097055714
2017-07-18,0.9843440435132425,1.1716574106794186
2017-07-19,0.9630637548989164,1.1709153650029536
2017-07-20,0.9466975419847671,1.1701211629570676
2017-07-21,0.9341694021964111,1.1693466791332672
2017-07-24,0.9261211562209342,1.1685566943884238
2017-07-25,0.9182930120609654,1.1677012186342874
2017-07-26,0.9213476021567538,1.1668567778437935
2017-07-27,0.9876523801419202,1.1656687985873173
2017-07-28,0.9723690040308772,1.1642916438762239
2017-07-31,0.9517377138686898,1.1625011690316702
2017-08-01,0.9357524865048449,1.1607195475221395
2017-08-02,0.9331236381101918,1.1589572571928615
2017-08-03,0.9277699908921392,1.1572069823501758
2017-08-04,0.916431365678849,1.1551493358003544
2017-08-07,0.9073530426465765,1.1528957923420486
2017-08-08,1.1482479366408633,1.151018519399232
2017-08-09,1.0901328652967033,1.149144319918086
2017-08-10,2.856695209503457,1.1507249975558886
2017-08-11,2.5120018073241908,1.1522563777215555
2017-08-14,2.2195508464552014,1.1539889392884144
2017-08-15,1.9723071464657833,1.1556805267893027
2017-08-16,1.7646784409631122,1.157363763040817
2017-08-17,2.585691768173461,1.1598235279558697
2017-08-18,2.2840509801665987,1.1622833991759496
2017-08-21,2.0287484417738932,1.1647419697083128
2017-08-22,1.8142659672716128,1.1673518801115625
2017-08-23,1.7262912384647036,1.1699971076887328
2017-08-24,1.5624355641113652,1.1726099351446755
2017-08-25,1.4274674006785584,1.1751883270352885
2017-08-28,1.3177130552589968,1.1777371098848843
2017-08-29,1.2521279088016528,1.1802858331777095
2017-08-30,1.1768701066812768,1.1828411017545848
2017-08-31,1.1175305150196124,1.1854413507213253
2017-09-01,1.0712999579949587,1.188063695262169
2017-09-05,1.7151066905589283,1.1915990785494928
2017-09-06,1.5567580390028501,1.1951285370201818
2017-09-07,1.4262285483049342,1.198274163954143
2017-09-08,1.3656062346079123,1.201426761812804
2017-09-11,1.2682673771724953,1.2014458489669853
2017-09-12,1.190377151998475,1.2014647260739701
2017-09-13,1.1284625913161677,1.2012357686982187
2017-09-14,1.0798808267582123,1.201005298905879
2017-09-15,1.04210395066903,1.200790314751081
2017-09-18,1.0122954726758389,1.1998117502341774
2017-09-19,0.9895097877231938,1.1988040090023055
2017-09-20,0.9717691207277579,1.1978186674117246
2017-09-21,0.9580141209815229,1.1966744820543305
2017-09-22,0.9473759464964264,1.1954834603623758
2017-09-25,1.0426417371273797,1.1944392609086492
2017-09-26,1.0114624283679547,1.1933170710251322
2017-09-27,0.9874005144823451,1.1922280671079675
2017-09-28,0.9688880740312579,1.1911603871855376
2017-09-29,0.9546278877133226,1.1900628453993511
2017-10-02,0.9435928189637732,1.1888951930258613
2017-10-03,0.9361422199644668,1.187683851873048
2017-10-04,0.9328257136250051,1.185489286328645
2017-10-05,0.925562360946036,1.1833557098353817
2017-10-06,0.9850562562615396,1.181318757998873
2017-10-09,1.082502351036708,1.179404892307981
2017-10-10,1.0387384483112194,1.1772512985764765
2017-10-11,1.0045694122359092,1.1751174545550755
2017-10-12,0.9789682997932058,1.1729913298912316
2017-10-13,0.9581099957729281,1.1709037432684208
2017-10-16,0.967701978917063,1.1688370066010059
2017-10-17,0.9909229697610203,1.16683096976383
2017-10-18,0.9661844171792464,1.16485014315147
2017-10-19,0.946945197991943,1.1628222753284356
2017-10-20,0.9319915321503731,1.160799982770503
2017-10-23,1.1911513959190914,1.159178912851679
2017-10-24,1.1224917157823482,1.1574202642082951
2017-10-25,1.0675734597675235,1.1556691879599457
2017-10-26,1.0244379688394998,1.153897109797923
2017-10-27,0.990263710331748,1.1526982883651733
2017-10-30,1.0851905768112806,1.15165566728949
2017-10-31,1.0371738214976312,1.1506417774442228
2017-11-01,0.9997993918781908,1.1496311582416336
2017-11-02,0.9707306341102045,1.148641808398075
2017-11-03,0.9484179521708771,1.1478004704651414
2017-11-06,0.9530268432735776,1.1468984227035977
2017-11-07,1.0040528970129015,1.1459316733557896
2017-11-08,0.9733582362111085,1.144956404410229
2017-11-09,1.0796327375547667,1.1441346022212597
2017-11-10,1.157450963108157,1.1434551377295044
2017-11-13,1.1009736291119783,1.1427548713525575
2017-11-14,1.0498203446304515,1.1420262623950468
2017-11-15,1.3530859130151345,1.1416830838722276
2017-11-16,1.2496823564410278,1.1415281231752463
2017-11-17,1.166496276890758,1.1413899211049658
2017-11-20,1.1003663353629098,1.1413633163896588
2017-11-21,1.0480711483482408,1.1411426168538268
2017-11-22,1.013279051396998,1.1409280590817286
2017-11-24,0.9802538814001197,1.1407277098413977
2017-11-27,0.9662307115797967,1.1405406928295019
2017-11-28,0.9506904669765023,1.139753294358038
2017-11-29,1.0422032124302822,1.1389593776777116
2017-11-30,1.0720181043247359,1.1382228041995996
2017-12-01,1.0293583457669153,1.1374942830625567
2017-12-04,1.0038839713831476,1.136760307188811
2017-12-05,0.9716554018786703,1.1358293023161534
2017-12-06,0.9467421275088588,1.1349004203012703
2017-12-07,0.9276734252957773,1.134112772170387
2017-12-08,0.9131431716877698,1.1334481990810168
2017-12-11,0.9019139049820665,1.132644078252299
2017-12-12,0.9937485033950995,1.1318394974553592
2017-12-13,0.9810906930554382,1.1310515001537287
2017-12-14,0.9776073076649949,1.130294501446415
2017-12-15,0.9504021590884567,1.1294706211318646
2017-12-18,0.9330574708987652,1.1284484108722028
2017-12-19,0.9876777672905269,1.127506296213019
2017-12-20,0.9574772289720523,1.1264847642112166
2017-12-21,0.9339719182073946,1.125260769777388
2017-12-22,0.9390178656447384,1.1240642508326648
2017-12-26,0.9531454285679599,1.1229006812715006
2017-12-27,0.9426395854195811,1.1217437675333881
2017-12-28,0.921863438910558,1.1206103961680884
2017-12-29,1.078919659659606,1.1195716555897617
2018-01-02,1.0272499403747855,1.1188457427188074
2018-01-03,0.9869290187242444,1.1182418450406872
2018-01-04,0.9572088674892225,1.1176290529509334
2018-01-05,0.9326614498305373,1.1169905442751071
2018-01-08,0.9426627095626516,1.1163654401673315
2018-01-09,1.009605721061445,1.1156245658822683
2018-01-10,0.9724878220317209,1.1147823841449953
2018-01-11,0.9447154238181993,1.1139214676089155
2018-01-12,0.9440128177095903,1.112951998964915
2018-01-16,1.356899595401222,1.1126063077297377
2018-01-17,1.2579994117645685,1.1122406843844546
2018-01-18,1.1829917159473264,1.1115133845347973
2018-01-19,1.1083611631593737,1.110925689684058
2018-01-22,1.0490538537177203,1.1102592670182942
2018-01-23,1.003431396758144,1.1095659854195243
2018-01-24,0.9954472140701384,1.1089044269007136
2018-01-25,0.9629869531826484,1.1082198482250714
2018-01-26,0.9353981526601386,1.1075594196249698
2018-01-29,1.8521190458499153,1.108578727921477
2018-01-30,1.726785302230709,1.1096025504657063
2018-01-31,1.5539618914246256,1.1104617093803821
2018-02-01,1.4104909826014487,1.1109247823322692
2018-02-02,2.2297999641223423,1.1122094173311068
2018-02-05,5.60263762883162,1.1166239868460646
2018-02-06,4.880606536077253,1.121042639688607
2018-02-07,4.256787986263822,1.1253919957063852
2018-02-08,3.9607441119062465,1.1296498785021845
2018-02-09,3.4638041572814133,1.1338869943693684
2018-02-12,3.0368501971615265,1.1381243886324552
2018-02-13,2.6709966903760853,1.1422990764243837
2018-02-14,2.358099234553118,1.1461048381365466
2018-02-15,2.092433568837969,1.1498700622244238
2018-02-16,1.872338815492538,1.1535921965755491
2018-02-20,1.733585659839167,1.157175514777253
2018-02-21,1.5683621724589,1.160725626494048
2018-02-22,1.432142286227175,1.1643014918825794
2018-02-23,1.3212157492249328,1.1680622106720173
2018-02-26,1.2317781391143456,1.1718203224044206
2018-02-27,1.6555749454494655,1.1760363208676847
2018-02-28,1.5779357439388968,1.1786748864720924
2018-03-01,1.6984239753371357,1.1814529292358626
2018-03-02,1.54098893701415,1.1843432965149927
2018-03-05,1.4116824175429827,1.1872373461107093
2018-03-06,1.3056346043208262,1.1892284557644928
2018-03-07,1.2174055445906264,1.1882829965963495
2018-03-08,1.1471195526186448,1.1874084133102645
2018-03-09,1.0919426523403142,1.18689396999058
2018-03-12,1.1806805427379583,1.1864773272170017
2018-03-13,1.1473074740452098,1.1860549076665887
2018-03-14,1.1558840616601649,1.1856627311339427
2018-03-15,1.098682132374965,1.1853048671122548
2018-03-16,1.0537060197227688,1.1847308048666583
2018-03-19,1.6852829436032397,1.1851514637378633
2018-03-20,1.5273791199306084,1.1855894027866478
2018-03-21,1.3977657872476348,1.1860016829667654
2018-03-22,2.3300408837614843,1.187576697312641
2018-03-23,2.118547492977205,1.1891087250541896
2018-03-26,1.890103330508679,1.190589994918486
2018-03-27,1.7682235152830652,1.1920698469468978
2018-03-28,1.6017150308341368,1.1930006873426353
2018-03-29,1.4603833729538283,1.194107135896943
2018-04-02,1.81298972970064,1.1954385605291473
2018-04-03,1.6352592455020705,1.1966804836713933
2018-04-04,1.4885445697055901,1.1979181741671674
2018-04-05,1.3686715851510909,1.199189576338954
2018-04-06,1.5666992461860703,1.2007076263603893
2018-04-09,1.4360435522643453,1.2021090965465655
2018-04-10,1.326385382911015,1.2032026662204502
2018-04-11,1.2379878238496533,1.2041423753028542
2018-04-12,1.1677652041399418,1.2052211365554457
2018-04-13,1.112508004465586,1.2063135562530996
2018-04-16,1.0694972987343165,1.2074310762937983
2018-04-17,1.0364434456351201,1.2086729781044996
2018-04-18,1.0236562880185907,1.2089507632654029
2018-04-19,1.014183409448212,1.2092217116806994
2018-04-20,1.0730924265877568,1.2095860415861288
2018-04-23,1.0378756399492186,1.2088264193009681
2018-04-24,1.2338662796267672,1.2083376746588679
2018-04-25,1.1634460279703567,1.2076553117508322
2018-04-26,1.1080425822142397,1.2071488706866276
2018-04-27,1.064794729513628,1.2067154146690926
2018-04-30,1.0586267614225517,1.206087399818106
2018-05-01,1.0258920820437205,1.2050630539519498
2018-05-02,1.0245336539128425,1.2039482547020035
2018-05-03,0.9992654061859643,1.2028084336252385
2018-05-04,0.9799029094762399,1.2018028906605276
2018-05-07,0.9648063059495414,1.2005264895036678
2018-05-08,0.9531606307438427,1.1992538780425102
2018-05-09,0.9443389688030459,1.1982278965205242
2018-05-10,0.9375185182171071,1.1972116654961227
2018-05-11,0.9321299608960116,1.1960995560571035
2018-05-14,0.941213480566444,1.1949231456457776
2018-05-15,1.2926538747862861,1.1942419805047886
2018-05-16,1.207990595989886,1.1935122873267792
2018-05-17,1.1406290685406892,1.192770316532064
2018-05-18,1.0875146730044614,1.192015622380848
2018-05-21,1.0459369789810473,1.1911813312842003
2018-05-22,1.01656325135232,1.190323908858425
2018-05-23,0.9907743153715682,1.1892521885622074
2018-05-24,0.9709062364615855,1.1881837433663196
2018-05-25,1.031033704589719,1.187001716932204
2018-05-29,2.085176884583176,1.1876770621679953
2018-05-30,1.8608512245743878,1.1884414028466024
2018-05-31,1.689801657000016,1.189187557957112
2018-06-01,1.5321952134111372,1.1901096420078279
2018-06-04,1.4029120913300306,1.1910667689092833
2018-06-05,1.297734561457003,1.1918512423956271
2018-06-06,1.2133085856450534,1.192707144273061
2018-06-07,1.1844688277873758,1.193594735243081
2018-06-08,1.1237133442297462,1.1941752986894345
2018-06-11,1.0803918789032063,1.1947499905838042
2018-06-12,1.0420461544480648,1.1952471376246838
2018-06-13,1.069238433652663,1.1957904415072065
2018-06-14,1.0332512182426885,1.1958961225792146
2018-06-15,1.0054259634602638,1.1958614585310456
2018-06-18,1.0035711454600516,1.1958507114184447
2018-06-19,1.144654943640222,1.19605088687731
2018-06-20,1.0920988801386071,1.196277466142366
2018-06-21,1.4357814457639435,1.1969937894575728
2018-06-22,1.3250447056609072,1.1976883284060174
2018-06-25,2.0743505586086455,1.1993516898724912
2018-06-26,1.8541968827500495,1.2009609202634364
2018-06-27,1.8729443771772831,1.2007874816136284
2018-06-28,1.6835295423603354,1.2005253350096365
2018-06-29,1.526849992631889,1.200279507448161
2018-07-02,1.3982073322651403,1.19984020936123
2018-07-03,1.3169752343912928,1.1993813155122937
2018-07-05,1.228559742137109,1.199018718786325
2018-07-06,1.1583021522901527,1.1988563500269747
2018-07-09,1.1029223762350642,1.1987236011691769
2018-07-10,1.0596572294850821,1.198591573472799
2018-07-11,1.1621693491053702,1.1986193257243936
2018-07-12,1.106208220905992,1.1988010660655921
2018-07-13,1.062467303967515,1.1989425290646754
